"","lon","lat"
"179",-76.9840852,38.9310917
"180",-77.0774471,38.9563815
"181",-77.0184382,38.9732403
"182",-77.069869,38.947088
"183",-76.9977236,38.8407494
"184",-77.023184,38.9781242
"185",-77.0226443,38.963592
"186",-77.0190228,38.912068
"187",-77.0298308,38.911341
"188",-77.0124615,38.8285455
"189",-77.0058351,38.8371511
"190",-77.0241844,38.9054257
"191",-77.0299317,38.9516628
"192",-77.0239865,38.9552697
"193",-77.0301341,38.9324552
"194",-77.0235524,38.9310559
"195",-77.020077,38.931251
"196",-77.0190316,38.9374016
"197",-77.0255461,38.9219554
"198",-77.049454,38.906428
"199",-77.0390854,38.9209868
"200",-77.0470241,38.9207762
"201",-77.0417092,38.9177843
"202",-76.9906303,38.8614854
"203",-77.0405507,38.9039725
"204",-77.0755314,38.909144
"205",-77.0775145,38.9168975
"206",-77.0670725,38.9206393
"207",-77.2148115,38.8289629
"208",-77.056451,38.9285591
"209",-77.0283685,38.9167416
"210",-77.0132193,38.9090468
"211",-77.0195821,38.9060823
"212",-76.9979578,38.8645021
"213",-76.9758499,38.8487329
"214",-77.0636194,38.9352775
"215",-77.0751875,38.9295857
"216",-77.0772463,38.923624
"217",-76.9821389,38.8501763
"218",-77.039058,38.929424
"219",-77.001306,38.8965094
"220",-76.9851652,38.8408696
"221",-76.9784038,38.8730813
"222",-77.0547526,38.9014998
"223",-77.0151621,38.8948132
"224",-76.9723551,38.8606972
"225",-76.9868554,38.8643586
"226",-77.0559741,38.9418792
"227",-76.98955,38.8549426
"228",-77.0514078,38.9052565
"229",-76.950543,38.893258
"230",-77.0491325,38.9302926
"231",-76.9709286,38.9427542
"232",-77.1013774,38.9368195
"233",-76.9926438,38.8973487
"234",-77.0276063,38.9947766
"235",-76.9530387,38.9001028
"236",-77.0171407,38.981947
"237",-77.0337102,38.9591052
"238",-76.9627758,38.8576345
"239",-77.0599518,38.9613121
"240",-77.0382953,38.9097965
"241",-76.9486719,38.8728724
"242",-77.1085366,38.9505003
"243",-76.941937,38.909617
"244",-77.0608605,38.862366
"245",-77.0661691,38.9049002
"246",-76.961397,38.892774
"247",-76.9091707,38.859918
"248",-77.0507571,38.9153782
"249",-76.9574898,38.8746085
"250",-76.956352,38.847459
"251",-76.9662188,38.8655116
"252",-76.9728797,38.8668268
"253",-76.8502521,38.792055
"254",-77.1572459,39.0143039
"255",-77.0975988,38.9911523
"256",-77.0992983,38.9784775
"257",-77.0950973,38.9867474
"258",-76.8559928,38.7679145
"259",-76.8929259,38.770471
"260",-76.8882673,38.8649852
"261",-76.9239518,38.7744326
"262",-76.886193,38.829178
"263",-76.9793151,38.7950502
"264",-76.9360643,38.8279095
"265",-76.977798,39.004447
"266",-76.9597602,38.9796762
"267",-76.944006,38.8414155
"268",-76.9661966,38.8021646
"269",-77.2319832,38.9251847
"270",-76.9100671,38.7946807
"271",-77.0986913,38.9670432
"272",-76.8449963,38.9855752
"273",-76.8907643,38.9070317
"274",-76.8390986,38.9237906
"275",-76.8998246,38.8459587
"276",-76.903756,38.7856686
"277",-76.9344116,38.7799234
"278",-76.9649136,38.9397917
"279",-77.003404,38.769388
"280",-76.92018,38.865618
"281",-76.8537708,38.9119559
"282",-76.9004191,39.0037749
"283",-76.9079184,39.0047756
"284",-76.9376137,38.9394855
"285",-76.9880227,38.9912888
"286",-76.9679966,38.9849767
"287",-76.9817542,38.9890147
"288",-76.9299268,38.8121751
"289",-76.915981,38.9094978
"290",-76.9861446,38.9631365
"291",-76.963383,38.9612973
"292",-76.8767578,38.9707859
"293",-76.9142955,38.9392221
"294",-76.9117984,38.9577715
"295",-76.975134,38.833577
"296",-76.8619425,38.8667119
"297",-77.0253947,38.7767047
"298",-76.9122158,38.9650168
"299",-76.9664439,38.8139693
"300",-76.9435333,38.8078813
"301",-76.947166,38.9484312
"302",-88.0674577,42.0821123
"303",-77.0023733,38.8085277
"304",-76.8960846,38.9161431
"305",-76.919761,38.9242739
"306",-76.947248,38.93199
"307",-76.907409,38.826799
"308",-76.947501,38.828192
"309",-76.8384302,38.9690796
"310",-76.8755642,38.836854
"311",-84.4806281,33.5900076
"312",-76.9392568,38.8543893
"313",-76.9534295,38.9574685
"314",-76.9625044,38.8223125
"315",-76.9201007,38.857777
"316",-76.976795,38.9637082
"317",-76.9968646,38.967339
"318",-76.9881532,38.9709272
"319",-76.9732397,38.9891163
"320",-76.9771325,38.9742681
"321",-76.944055,38.975025
"322",-76.9317838,38.9587692
"323",-76.8789159,38.804047
"324",-76.9553717,38.7856318
"325",-76.8581275,38.8377848
"326",-76.9390319,38.9506094
"327",-76.9900718,38.7993198
"328",-76.9776814,38.7910282
"329",-76.9857302,38.81148
"330",-77.0886766,38.996858
"331",-76.9639036,38.8299093
"332",-76.9052805,38.8085509
"333",-76.9765587,38.9504216
"334",-76.955608,38.808093
"335",-76.9824042,38.8274174
"336",-76.9503677,38.8364153
"337",-76.9582074,38.839188
"338",-76.9243104,38.8432184
"339",-76.8684702,38.851724
"340",-77.1185609,39.0069873
"341",-77.1182463,38.9963717
"342",-76.8927908,38.8558982
"343",-76.9408995,38.8659054
"344",-77.1079522,38.9855198
"345",-77.0698027,38.9990585
"346",-77.1212978,38.9825593
"347",-77.0665424,38.982681
"348",-77.0834948,38.9790917
"349",-76.9230144,38.8767266
"350",-76.917295,38.8826174
"351",-77.1448538,38.9800625
"352",-76.904549,38.87502
"353",-76.9899801,38.9851586
"354",-76.8873742,38.8928784
"355",-77.0007841,38.9962509
"356",-77.0065273,38.9746498
"357",-76.9153056,38.9016788
"358",-76.894803,38.902377
"359",-76.8931176,38.9241737
"360",-76.874626,38.916776
"361",-76.8952417,38.9832981
"362",-76.9954729,39.0098003
"363",-77.1863227,39.0217573
"364",-76.9939372,38.9946315
"365",-77.0032617,39.0055573
"366",-77.0176507,38.9928901
"367",-77.0111614,39.0065627
"368",-77.0127469,38.9880493
"369",-77.052447,38.9988123
"370",-77.0441455,39.0087764
"371",-76.8877469,38.8796069
"372",-76.8881415,38.9423073
"373",-76.8620327,38.9685112
"374",-76.8533053,38.9895547
"375",-76.9140123,38.9913365
"376",-77.1405844,38.9946192
"377",-76.9256865,38.9697524
"378",-77.1117068,38.9644385
"379",-77.2213796,38.8204048
"380",-76.8598442,38.9254655
"381",-76.8891625,38.9330416
"382",-76.8413458,38.9040533
"383",-76.8678435,38.8951335
"384",-76.8517944,38.9403818
"385",-76.865124,38.94211
"386",-76.8615342,38.9705759
"387",-76.847221,38.9535229
"388",-76.8761135,38.96401
"389",-76.8822525,38.9510126
"390",-76.8839189,38.9574152
"391",-76.904113,38.946035
"392",-76.901392,38.9530311
"393",-76.903329,38.894067
"394",-76.9695438,38.9969261
"395",-77.1054885,38.883176
"396",-76.9232919,38.9475776
"397",-76.9136303,38.9461125
"398",-77.1122049,38.8855772
"399",-76.9043232,38.927638
"400",-76.9003265,38.9375617
"401",-77.0726867,38.8473922
"402",-77.1577958,38.8948052
"403",-77.11083,38.892764
"404",-77.1296631,38.894558
"405",-77.1409439,38.8909995
"406",-77.1384479,38.874654
"407",-77.1054351,38.8766058
"408",-77.0959939,38.8926
"409",-77.1746903,38.8877324
"410",-77.1518867,38.8851506
"411",-77.1635068,38.8787657
"412",-77.1862365,38.8845992
"413",-77.0836293,38.8716419
"414",-77.04308,38.800887
"415",-77.2254364,38.8451549
"416",-77.1871449,38.8728616
"417",-77.0440347,38.8081947
"418",-77.0637768,38.8311388
"419",-77.1378403,38.8511321
"420",-77.1967034,38.8953991
"421",-77.1459334,38.8508041
"422",-77.2210108,38.9278039
"423",-77.1345693,38.8214269
"424",-77.0696228,38.7903986
"425",-77.2111736,38.8969654
"426",-77.2101904,38.9022277
"427",-77.2232869,38.7900354
"428",-77.1310331,38.8868304
"429",-77.1182532,38.8789436
"430",-77.1241908,38.8732791
"431",-77.075943,38.8962386
"432",-77.1046606,38.8734459
"433",-77.108222,38.8657819
"434",-77.1115438,38.8763657
"435",-77.1017013,38.8620614
"436",-77.0734247,38.8890539
"437",-77.0772695,38.892037
"438",-77.1092222,38.853031
"439",-77.101681,38.8554559
"440",-77.0576007,38.8540846
"441",-77.0844744,38.8866053
"442",-77.0833296,38.894324
"443",-77.0913187,38.8863795
"444",-77.0535692,38.8599562
"445",-77.0929586,38.839913
"446",-77.1753013,38.770552
"447",-77.1745436,38.8054404
"448",-77.1808915,38.8208547
"449",-77.1710914,38.882334
"450",-77.1898304,38.8627077
"451",-77.2054177,38.857448
"452",-77.2033739,38.8419729
"453",-77.2138476,38.844119
"454",-77.238619,38.855587
"455",-77.1411398,38.8647379
"456",-77.1332766,38.8573721
"457",-77.2252306,38.8798778
"458",-77.1178227,38.8030411
"459",-77.070775,38.792561
"460",-77.0888308,38.8338249
"461",-77.1386368,38.7942924
"462",-77.2062176,38.9266538
"463",-77.2147486,38.9158896
"464",-77.1982307,38.889867
"465",-77.1480034,38.786512
"466",-77.129708,38.7905046
"467",-77.1878858,38.7650189
"468",-77.1409408,38.7752167
"469",-77.0941955,38.7776101
"470",-77.0979907,38.876111
"471",-77.1255526,38.8630355
"472",-77.0923697,38.8647602
"473",-77.0929816,38.8549998
"474",-77.0874824,38.7696437
"475",-77.1138234,38.8585705
"476",-77.1011738,38.8480882
"477",-77.1778243,38.9413562
"478",-77.1808926,38.8744776
"479",-77.08477,38.850149
"480",-77.083219,38.8593208
"481",-77.1013848,38.8413572
"482",-77.0970279,38.8176056
"483",-77.169793,38.9064182
"484",-77.0634684,38.8412272
"485",-77.1221119,38.8413851
"486",-77.206715,38.880544
"487",-77.0554145,38.8273076
"488",-77.0838994,38.8181454
"489",-77.085721,38.810472
"490",-77.1712307,38.8653798
"491",-77.181027,38.8641787
"492",-77.0584831,38.8213926
"493",-77.1830019,38.8570881
"494",-77.1326058,38.9315685
"495",-77.0699093,38.7778781
